"table_name","column_name","data_type","is_nullable"
"topics","id","uuid","NO"
"topics","house_id","uuid","NO"
"topics","created_by","uuid","NO"
"topics","created_for","ARRAY","YES"
"user_ratings","rp5","integer","YES"
"user_ratings","mp1","integer","YES"
"user_ratings","mp2","integer","YES"
"user_ratings","mp3","integer","YES"
"user_ratings","created_at","timestamp with time zone","YES"
"user_ratings","updated_at","timestamp with time zone","YES"
"rating_history","id","uuid","NO"
"rating_history","user_id","uuid","NO"
"rating_history","old_values","jsonb","NO"
"rating_history","new_values","jsonb","NO"
"rating_history","changed_at","timestamp with time zone","YES"
"rating_updates","id","uuid","NO"
"rating_updates","user_id","uuid","NO"
"rating_updates","house_id","uuid","NO"
"rating_updates","update_value","integer","NO"
"rating_updates","scheduled_for","timestamp with time zone","NO"
"rating_updates","processed","boolean","YES"
"rating_updates","created_at","timestamp with time zone","YES"
"rating_notifications","id","uuid","NO"
"rating_notifications","user_id","uuid","NO"
"rating_notifications","read","boolean","YES"
"rating_notifications","created_at","timestamp with time zone","YES"
"topics","votes","integer","YES"
"topics","created_at","timestamp with time zone","YES"
"topics","updated_at","timestamp with time zone","YES"
"topics","archived_at","timestamp with time zone","YES"
"topic_votes","id","uuid","NO"
"topic_votes","topic_id","uuid","NO"
"topic_votes","user_id","uuid","NO"
"topic_votes","created_at","timestamp with time zone","YES"
"houses","id","uuid","NO"
"houses","created_at","timestamp with time zone","YES"
"houses","updated_at","timestamp with time zone","YES"
"house_members","house_id","uuid","NO"
"house_members","user_id","uuid","NO"
"house_members","joined_at","timestamp with time zone","YES"
"users","id","uuid","NO"
"users","created_at","timestamp with time zone","YES"
"users","updated_at","timestamp with time zone","YES"
"user_ratings","id","uuid","NO"
"user_ratings","user_id","uuid","NO"
"user_ratings","rp1","integer","YES"
"user_ratings","rp2","integer","YES"
"user_ratings","rp3","integer","YES"
"user_ratings","rp4","integer","YES"
"topics","type","text","NO"
"topics","description","text","NO"
"topics","rating_parameter","text","YES"
"topics","images","ARRAY","YES"
"house_members","type","text","YES"
"topics","status","text","YES"
"house_members","status","text","YES"
"rating_notifications","message","text","NO"
"rating_history","reason","text","YES"
"users","type","text","YES"
"users","username","text","NO"
"users","email","text","NO"
"topic_votes","vote_type","text","NO"
"users","phone","text","NO"
"users","name","text","NO"
"houses","name","text","NO"
"houses","address","text","NO"
"houses","image_url","text","YES"
"users","bio","text","YES"
"users","image_url","text","YES"
"rating_updates","parameter_key","text","NO"
"rating_notifications","type","text","NO"
